Year,Quarter/Year,Date,Gross Metro Product,Total Households,Total Population,Total Real Personal Income,Disposable Real Pers Income,Persons Per Household,Res SF Permits,Res MF Permits,Total Res Permits,Employment Tot Non Agric,Total Employed,CPI Index,Fla - Gross State Product,Fla - Nbr of Households,Fla - Total Population,Fla -Total Real Personal Income,Fla - Dis Real Personal Income,Fla Total RealPers Inc per Hsld,Fla - Emplymt Tot NonAgricultur,Fla - Tot Resid Permits,Fla - Persons Per Hsld,ln_Gross Metro Product,ln_Total Households,ln_Total Population,ln_Total Real Personal Income,ln_Disposable Real Pers Income,ln_Persons Per Household,ln_Res SF Permits,ln_Res MF Permits,ln_Total Res Permits,ln_Employment Tot Non Agric,ln_Total Employed,ln_CPI Index,ln_Fla - Gross State Product,ln_Fla - Nbr of Households,ln_Fla - Total Population,ln_Fla -Total Real Personal Income,ln_Fla - Dis Real Personal Income,ln_Fla Total RealPers Inc per Hsld,ln_Fla - Emplymt Tot NonAgricultur,ln_Fla - Tot Resid Permits,ln_Fla - Persons Per Hsld
1980,80Q1,2022-09-01,8.78097,114.59001,321.12639,7022.6164,6208.0904,2.802394292486754,2495.715,1511.2239,4006.9389,116.97489,116.97489,78.51432,262.20964,3752.7455,9737.1064,236573.68,209732.18,63.04016086355976,3523.5084,164629.22,2.594662068077891,2.1725868799046495,4.741360627706003,5.7718347839531825,8.85689113413473,8.733608623612701,1.0304741562471798,7.822330540277671,7.320675131308402,8.29578286220444,4.761959296379963,4.761959296379963,4.363281028533954,5.569144336481365,8.230242984418922,9.18369926830942,12.374014981734955,12.253586662436621,4.143771997316034,8.167212476757424,12.011451072733742,0.9534562838904975
1980,80Q2,2022-09-01,8.74107,115.68008,324.07528,7168.2835,6272.4653,2.801478698839074,1946.5386,970.67,2917.2086,117.79771,117.79771,81.25055,260.78438,3794.6094,9840.5,239419.28,211550.53,63.09457832471506,3548.5695,117633.44,2.593284041303435,2.168032607803329,4.750828449973148,5.7809758344832645,8.877421504653904,8.74392474614078,1.030147384510117,7.573807997318826,6.877986554708505,7.978382479138093,4.768968831300179,4.768968831300179,4.397537590417705,5.563693935620825,8.241336759631414,9.194261801763492,12.385971603533276,12.262219161462967,4.144634843901862,8.174299843513694,11.675328627767298,0.9529250421320788
1980,80Q3,2022-09-01,8.85388,116.78589,326.67467,7305.743,6415.6058,2.797210091047814,2976.9888,1804.5607,4781.5496,119.33895,119.33895,82.78262,263.30369,3835.9478,9937.9004,244099.37,215712.89,63.63469544606421,3592.862,196475.34,2.59072878937508,2.1808557810218083,4.760342258302119,5.788964782696388,8.896416030169313,8.7664887075092,1.0286225243942686,7.998667598832012,7.498072461643999,8.47251995704961,4.7819677636640785,4.7819677636640785,4.416218135976774,5.573308080836269,8.25217182798582,9.204111049974793,12.405330675468258,12.281703589516187,4.153158847482439,8.186704378360327,12.188292206232942,0.9519392219889747
1980,80Q4,2022-09-01,9.08314,117.80462,328.97125,7485.3535,6583.4327,2.792515692508494,2844.7576,2313.5453,5158.303,121.96869,121.96869,85.15288,268.27133,3873.2785,10028.888,249033.35,220118.41,64.2952346442426,3639.677,218250.05,2.589250424414356,2.2064199478109576,4.769027489463721,5.795970360928754,8.920703523527443,8.792311575218136,1.0269428714650333,7.953233140821562,7.746536388877205,8.548362928415054,4.803764372451482,4.803764372451482,4.4444482292026075,5.591998893727074,8.261856585011081,9.21322500741193,12.425342102221226,12.301920907814878,4.1634855172101455,8.199650220429755,12.293396702796898,0.9513684224008498
1981,81Q1,2022-09-01,9.31405,118.81218,331.04643,7269.9985,6617.2267,2.786300444954381,1922.5325,963.96564,2886.4981,123.82773,123.82773,87.70145,277.13289,3909.224,10113.749,252176.56,223008.6,64.50808651538003,3686.4546,149443.73,2.587150032845393,2.2315240128086065,4.777543926925715,5.802258637443202,8.891511364200172,8.79743163366397,1.0247147105174874,7.5613986063084315,6.871055650821786,7.967799316264153,4.818891325475359,4.818891325475359,4.4739384328788585,5.6244971384378175,8.271094167809387,9.221651064246752,12.437884756084134,12.314965614721066,4.166790588274746,8.21242046214975,11.914675213001285,0.9505568964373633
1981,81Q2,2022-09-01,9.29076,119.85635,332.98155,7315.1593,6632.638,2.77817195334248,1756.5584,1453.6484,3210.2069,125.67161,125.67161,89.53458,277.40454,3945.5317,10192.77,255735.82,226132.3,64.81656705482813,3736.4479,174772.71,2.583370449158982,2.229020357875748,4.786293942372136,5.808087083040102,8.897704090387304,8.799757892429438,1.021793140667967,7.471111719089418,7.2818318131704585,8.074090668875598,4.8336722348762535,4.8336722348762535,4.494624919374722,5.625476874004916,8.280339002398463,9.229433924408777,12.451900237506472,12.328875505205808,4.171561235108009,8.225890679743092,12.071241608733912,0.9490949220103158
1981,81Q3,2022-09-01,9.36299,120.78791,334.84212,7483.488,6708.2673,2.772149298717066,1397.8701,1199.8034,2597.6735,125.26509,125.26509,91.7418,278.93448,3977.5543,10266.474,262334.47,231456.86,65.95371180727815,3756.6079,141952.94,2.581102161194883,2.236764683922432,4.794036197710642,5.813659137153965,8.920454272440155,8.811095970091946,1.0196229394433236,7.242705000021633,7.089912989020612,7.862371515737884,4.830432211749874,4.830432211749874,4.518978109643646,5.63097691553276,8.288422411910084,9.236638913883702,12.477375571631827,12.352148785251119,4.188953159721744,8.231271674942557,11.863250873204777,0.9482165019736186
1981,81Q4,2022-09-01,9.23996,121.70809,336.63014,7417.5302,6571.5514,2.76588138060502,1171.039,998.58254,2169.6215,124.7173,124.7173,93.81956,275.94558,4009.1268,10336.338,261161.05,229890.6,65.1416288454633,3764.4844,118482.62,2.578201816914346,2.2235375566398936,4.801625472722494,5.818984820231677,8.911601423609333,8.790505217545586,1.0173593475091833,7.065646667910757,6.906336813435384,7.682308007357743,4.826049576022566,4.826049576022566,4.541373363057723,5.620203672362775,8.296328740977447,9.243420926726099,12.472892545816304,12.34535882257304,4.176563804838858,8.233366185304966,11.682521562134049,0.9470921857486522
1982,82Q1,2022-09-01,9.02324,122.55047,338.33174,7246.3972,6523.5994,2.760754324320421,1023.5687,763.18464,1786.7533,122.54764,122.54764,94.92144,275.62095,4038.6121,10404.078,263381.84,230905.12,65.2159290068982,3764.1468,77420.676,2.576151841866665,2.1998034713508554,4.808522945136086,5.824026893437083,8.888259686403112,8.783181557809002,1.015503948300997,6.931050525467188,6.6374999941453865,7.488155453027164,4.808499852342754,4.808499852342754,4.5530496021225275,5.619026552215603,8.303656372327987,9.249953123656933,12.481360121343537,12.349762169198087,4.177703749015549,8.233276501007447,11.257009155687422,0.9462967513289453
1982,82Q2,2022-09-01,8.93654,123.22389,339.93308,7252.5523,6419.102,2.758662139297826,1097.2175,1187.6169,2284.8344,120.01078,120.01078,95.67485,279.12805,4063.546,10471.41,263319.14,229346.47,64.80033448618522,3759.2924,97861.549,2.57691435017593,2.1901484896635686,4.814002944638514,5.828748774708503,8.889108727276003,8.767033511511125,1.0147458300699879,7.000532708626373,7.079703973168954,7.734048828054333,4.787581572080607,4.787581572080607,4.560955463502855,5.631670637104653,8.309811270419576,9.256403965284433,12.481122035588328,12.342989108583565,4.171310765168752,8.231986027184337,11.491308993452769,0.946592694864857
