Year,Quarter/Year,Date,Gross Metro Product,Total Households,Total Population,Total Real Personal Income,Disposable Real Pers Income,Persons Per Household,Res SF Permits,Res MF Permits,Total Res Permits,Employment Tot Non Agric,Total Employed,CPI Index,Fla - Gross State Product,Fla - Nbr of Households,Fla - Total Population,Fla -Total Real Personal Income,Fla - Dis Real Personal Income,Fla Total RealPers Inc per Hsld,Fla - Emplymt Tot NonAgricultur,Fla - Tot Resid Permits,Fla - Persons Per Hsld,ln_Gross Metro Product,ln_Total Households,ln_Total Population,ln_Total Real Personal Income,ln_Disposable Real Pers Income,ln_Persons Per Household,ln_Res SF Permits,ln_Res MF Permits,ln_Total Res Permits,ln_Employment Tot Non Agric,ln_Total Employed,ln_CPI Index,ln_Fla - Gross State Product,ln_Fla - Nbr of Households,ln_Fla - Total Population,ln_Fla -Total Real Personal Income,ln_Fla - Dis Real Personal Income,ln_Fla Total RealPers Inc per Hsld,ln_Fla - Emplymt Tot NonAgricultur,ln_Fla - Tot Resid Permits,ln_Fla - Persons Per Hsld
1980,80Q1,2024-09-01,9.28845,114.59001,321.12639,7435.3352,6575.3028,2.802394292486754,2495.715,1511.2239,4006.9389,116.97489,116.97489,78.51432,283.20847,3752.7872,9737.1064,250575.92,222178.07,66.7706178490483,3542.9031,164629.22,2.59463323686459,2.2287716928343486,4.741360627706003,5.7718347839531825,8.91399894193987,8.791075909217486,1.0304741562471798,7.822330540277671,7.320675131308402,8.29578286220444,4.761959296379963,4.761959296379963,4.363281028533954,5.646183269564414,8.230254096221818,9.18369926830942,12.43151722744175,12.31123445644752,4.201263131219931,8.172701754787822,12.011451072733742,0.9534451720876007
1980,80Q2,2024-09-01,9.22257,115.68008,324.07528,7589.4441,6643.0821,2.801478698839074,1946.5386,970.67,2917.2086,117.79771,117.79771,81.25055,280.88191,3794.8007,9840.5,253596.31,224114.27,66.82730663562911,3568.1022,117633.44,2.593153311055308,2.221653740592716,4.750828449973148,5.7809758344832645,8.934513626600696,8.801331306462874,1.030147384510117,7.573807997318826,6.877986554708505,7.978382479138093,4.768968831300179,4.768968831300179,4.397537590417705,5.63793433189402,8.241387171981653,9.194261801763492,12.443498950966163,12.319911334691671,4.202111778984508,8.179789136787441,11.675328627767298,0.9528746297818381
1980,80Q3,2024-09-01,9.36611,116.78589,326.67467,7732.7867,6790.7439,2.797210091047814,2976.9888,1804.5607,4781.5496,119.33895,119.33895,82.78262,283.73548,3836.1565,9937.9004,258426.53,228398.87,67.36600292506314,3612.6385,196475.34,2.590587844891104,2.23709785530054,4.760342258302119,5.788964782696388,8.953224581143138,8.823315772725469,1.0286225243942686,7.998667598832012,7.498072461643999,8.47251995704961,4.7819677636640785,4.7819677636640785,4.416218135976774,5.648042395680124,8.252226232877069,9.204111049974793,12.46236671589899,12.338848809291157,4.21014048302192,8.192193670786109,12.188292206232942,0.9518848170977242
1980,80Q4,2024-09-01,9.66064,117.80462,328.97125,7920.1087,6963.4673,2.792515692508494,2844.7576,2313.5453,5158.303,121.96869,121.96869,85.15288,290.01584,3873.4206,10028.888,263466.29,232877.68,68.01902432181002,3659.7111,218250.05,2.589155435379262,2.2680598986178127,4.769027489463721,5.795970360928754,8.977160209461763,8.84843280456771,1.0269428714650333,7.953233140821562,7.746536388877205,8.548362928415054,4.803764372451482,4.803764372451482,4.4444482292026075,5.66993554217852,8.261893271604475,9.21322500741193,12.481680707090794,12.358268616157584,4.219787435486317,8.205139488853696,12.293396702796898,0.9513317358074554
1981,81Q1,2024-09-01,9.91685,118.81218,331.04643,7688.7601,6994.4421,2.786300444954381,1922.5325,963.96564,2886.4981,123.82773,123.82773,87.70145,299.29151,3909.2824,10113.749,266576.21,235720.46,68.19057379942673,3706.7463,149443.73,2.587111383920486,2.2942353305475973,4.777543926925715,5.802258637443202,8.947514814129258,8.852871126949562,1.0247147105174874,7.5613986063084315,6.871055650821786,7.967799316264153,4.818891325475359,4.818891325475359,4.4739384328788585,5.701418048268554,8.271109106724063,9.221651064246752,12.49341544793638,12.370401890417789,4.222306341212318,8.217909762718639,11.914675213001285,0.9505419575226874
1981,81Q2,2024-09-01,9.90177,119.85635,332.98155,7734.046,7007.8803,2.77817195334248,1756.5584,1453.6484,3210.2069,125.67161,125.67161,89.53458,299.10822,3945.4862,10192.77,270172.18,238852.41,68.47627042771053,3757.0148,174772.71,2.583400241014656,2.292713529038684,4.786293942372136,5.808087083040102,8.953387419912678,8.854790551990902,1.021793140667967,7.471111719089418,7.2818318131704585,8.074090668875598,4.8336722348762535,4.8336722348762535,4.494624919374722,5.7008054477056085,8.280327470299415,9.229433924408777,12.506814738437612,12.383601108781857,4.226487268138196,8.231379984879492,12.071241608733912,0.949106454109362
1981,81Q3,2024-09-01,9.98421,120.78791,334.84212,7910.5214,7087.0378,2.772149298717066,1397.8701,1199.8034,2597.6735,125.26509,125.26509,91.7418,300.40066,3977.4311,10266.474,277049.56,244381.72,69.65540144743174,3777.2857,141952.94,2.581182110231903,2.3010048450597136,4.794036197710642,5.813659137153965,8.975948975150613,8.866022732505641,1.0196229394433236,7.242705000021633,7.089912989020612,7.862371515737884,4.830432211749874,4.830432211749874,4.518978109643646,5.705117116958139,8.288391437623188,9.236638913883702,12.531951686133253,12.406486708064913,4.243560248510064,8.236760961895692,11.863250873204777,0.9482474762605129
1981,81Q4,2024-09-01,9.89429,121.70809,336.63014,7837.685,6940.2536,2.76588138060502,1171.039,998.58254,2169.6215,124.7173,124.7173,93.81956,297.93747,4009.037,10336.338,275670.34,242593.27,68.76223392300945,3785.2056,118482.62,2.57825956707309,2.2919578230693163,4.801625472722494,5.818984820231677,8.966698789128305,8.845093594619959,1.0173593475091833,7.065646667910757,6.906336813435384,7.682308007357743,4.826049576022566,4.826049576022566,4.541373363057723,5.6968836322727805,8.296306341834141,9.243420926726099,12.526961010521006,12.399141533969619,4.230654668686865,8.238855484079247,11.682521562134049,0.9471145848919584
1982,82Q1,2024-09-01,9.67636,122.55047,338.33174,7656.4085,6890.3381,2.760754324320421,1023.5687,763.18464,1786.7533,122.54764,122.54764,94.92144,297.31878,4038.575,10404.078,278012.45,243659.51,68.83924404028649,3784.8661,77420.676,2.576175507450029,2.2696857975124756,4.808522945136086,5.824026893437083,8.94329828855367,8.837875433921319,1.015503948300997,6.931050525467188,6.6374999941453865,7.488155453027164,4.808499852342754,4.808499852342754,4.5530496021225275,5.694804896525655,8.30364718596161,9.249953123656933,12.535421175842655,12.403527078907443,4.231773989881045,8.238765788759657,11.257009155687422,0.9463059376953229
1982,82Q2,2024-09-01,9.6017,123.22389,339.93308,7664.7568,6782.4506,2.758662139297826,1097.2175,1187.6169,2284.8344,120.01078,120.01078,95.67485,301.00862,4063.5959,10471.41,278034.3,242096.38,68.42075512478985,3779.985,97861.549,2.576882706275001,2.261940166129721,4.814002944638514,5.828748774708503,8.94438806216589,8.822093761056507,1.0147458300699879,7.000532708626373,7.079703973168954,7.734048828054333,4.787581572080607,4.787581572080607,4.560955463502855,5.707138902212574,8.309823550259306,9.256403965284433,12.535499766356892,12.397091190315393,4.225676216097586,8.237475320351791,11.491308993452769,0.9465804150251261
