Year,Quarter/Year,Date,Gross Metro Product,Total Households,Total Population,Total Real Personal Income,Disposable Real Pers Income,Persons Per Household,Res SF Permits,Res MF Permits,Total Res Permits,Employment Tot Non Agric,Total Employed,CPI Index,Fla - Gross State Product,Fla - Nbr of Households,Fla - Total Population,Fla -Total Real Personal Income,Fla - Dis Real Personal Income,Fla Total RealPers Inc per Hsld,Fla - Emplymt Tot NonAgricultur,Fla - Tot Resid Permits,Fla - Persons Per Hsld
1980,80Q1,2011-09-01,7.2959,113.91428,321.12637,,,2.819017685930157,2495.7151,1575.9137,4071.6287,117.2953,,79.31405,223.83444,3730.7859,9737.1064,,,,3523.251,167978.42,2.609934384066371
1980,80Q2,2011-09-01,7.36526,115.24792,324.07529,,,2.811983851856068,1946.5386,1324.3649,3270.9033,118.09843,,82.05959,224.8891,3780.4336,9840.5,,,,3548.3103,135945.39,2.603008289842732
1980,80Q3,2011-09-01,7.46551,116.42616,326.67465,,,2.805852653733491,2976.9888,1850.4351,4827.4238,119.51674,,83.54187,227.18735,3823.9795,9937.9004,,,,3592.5996,198850.41,2.598837258411035
1980,80Q4,2011-09-01,7.63051,117.47243,328.97125,,,2.800412403148552,2844.7578,1849.2864,4694.0439,122.09473,,85.70009,231.68375,3862.1604,10028.888,,,,3639.4111,194213.8,2.596704165886015
1981,81Q1,2011-09-01,7.77153,118.42782,331.04642,,,2.795343357667143,1922.5325,1370.7137,3293.2461,124.28828,,88.13989,236.40234,3896.4551,10113.749,,,,3686.1853,176586.59,2.595628267344849
1981,81Q2,2011-09-01,7.88519,119.33419,332.98154,,,2.790328069432574,1756.5583,1294.8639,3051.4224,126.04573,,90.04692,238.85422,3928.3428,10192.77,,,,3736.175,164176.8,2.594674273334802
1981,81Q3,2011-09-01,7.86892,120.22549,334.8421,,,2.785117365710051,1397.8701,1042.9342,2440.8044,125.38975,,92.11929,238.43047,3959.1042,10266.474,,,,3756.3333,131484.84,2.593130536953284
1981,81Q4,2011-09-01,7.87224,121.10176,336.63013,,,2.779729460579268,1171.0389,907.48828,2078.5273,124.67548,,93.96341,237.99696,3989.2295,10336.338,,,,3764.2092,112403.77,2.591061256315286
1982,82Q1,2011-09-01,7.82714,121.95441,338.33173,,,2.774247606134129,1023.5685,985.33447,2008.9031,123.18903,,95.09257,241.12808,4019.0098,10404.078,,,,3763.8718,86360.461,2.588716753066887
1982,82Q2,2011-09-01,7.70286,122.77481,339.93307,,,2.768752564145691,1097.2175,1127.3411,2224.5586,120.46243,,95.98862,242.50171,4048.7371,10471.41,,,,3759.0176,95435.938,2.586339824336828
1982,82Q3,2011-09-01,7.57717,123.56074,341.43628,,,2.763307179934339,1212.1998,1218.8177,2431.0176,118.3362,,97.59468,244.06808,4078.6543,10539.719,,,,3756.3145,104364.14,2.584116775967014
1982,82Q4,2011-09-01,7.52822,124.33593,342.90744,,,2.757911088130358,1615.0139,1376.5061,2991.52,118.0651,,97.99233,247.17609,4108.8096,10609.071,,,,3766.3496,129091.47,2.582030328200168
1983,83Q1,2011-09-01,7.47145,125.13082,344.42868,,,2.752548732598412,1864.6108,1540.3792,3404.99,117.66428,,98.19134,248.5686,4139.2021,10679.202,,,,3792.8279,169246.05,2.580014636154151
1983,83Q2,2011-09-01,7.54992,125.97604,346.08212,,,2.747205897248397,2098.0542,1804.396,3902.4502,119.39063,,99.24074,256.23276,4169.8315,10749.85,,,,3864.6194,193976.14,2.578005849876668
1983,83Q3,2011-09-01,7.72,126.89524,347.93039,,,2.741871089884853,2026.8468,1960.7883,3987.635,122.23802,,100.16713,260.3342,4200.7222,10820.867,,,,3942.7312,198221.47,2.575953963344684
1983,83Q4,2011-09-01,7.8363,127.88351,349.95819,,,2.736538823496478,2066.488,1846.4369,3912.9248,123.86855,,101.15372,266.673,4231.9956,10892.587,,,,4021.1885,194500.34,2.573865388706926
1984,84Q1,2011-09-01,7.96357,128.92876,352.13077,,,2.731204193695805,2206.4702,1443.0043,3649.4744,125.67068,,102.28239,271.89285,4263.7988,10965.458,,,,4105.3101,222818.58,2.571757841856891
1984,84Q2,2011-09-01,8.09692,130.01878,354.41333,,,2.72586260231022,2014.5107,1487.2571,3501.7678,127.57461,,103.24515,277.94052,4296.2793,11039.93,,,,4175.2969,216061.08,2.569649044930575
1984,84Q3,2011-09-01,8.19451,131.14041,356.76877,,,2.720509795569497,1831.7598,1239.0819,3070.8418,128.68587,,104.04827,282.84885,4329.5181,11116.27,,,,4239.9976,188037.84,2.56755364990852
1984,84Q4,2011-09-01,8.28443,132.27647,359.15085,,,2.715152967115013,1823.2598,1306.6572,3129.917,129.44168,,104.91111,286.10297,4363.3389,11194.014,,,,4295.1758,192618.45,2.565469759866693
1985,85Q1,2011-09-01,8.47767,133.40869,361.51077,,,2.709799264200855,2052.676,994.88031,3047.5564,131.8194,,105.57391,288.5181,4397.4985,11272.513,,,,4343.7397,196391.16,2.563392119406067
1985,85Q2,2011-09-01,8.58706,134.51865,363.79996,,,2.704457411667453,1996.9086,1048.781,3045.6895,132.8927,,106.50726,293.4194,4431.7554,11351.12,,,,4390.6968,198528.66,2.56131464295164
1985,85Q3,2011-09-01,8.63547,135.59241,365.98196,,,2.699133085694104,2086.9946,1142.8789,3229.8735,133.30234,,107.23833,296.78333,4465.9492,11429.403,,,,4429.6499,211804.92,2.559232648683062
