Year,Quarter/Year,Date,Gross Metro Product,Total Households,Total Population,Total Real Personal Income,Disposable Real Pers Income,Persons Per Household,Res SF Permits,Res MF Permits,Total Res Permits,Employment Tot Non Agric,Total Employed,CPI Index,Fla - Gross State Product,Fla - Nbr of Households,Fla - Total Population,Fla -Total Real Personal Income,Fla - Dis Real Personal Income,Fla Total RealPers Inc per Hsld,Fla - Emplymt Tot NonAgricultur,Fla - Tot Resid Permits,Fla - Persons Per Hsld
1980,80Q1,2006-03-01,6.27851,113.91601,324.07529,,,2.844861666064322,2495.7151,1575.9137,4071.6287,117.23626,,78.23878,199.88275,3730.7859,9737.1064,,,,3530.0325,167978.42,2.609934384066371
1980,80Q2,2006-03-01,6.33792,115.24792,324.07529,,,2.811983851856068,1946.5386,1324.3649,3270.9033,118.03976,,80.80572,201.466,3780.4336,9840.5,,,,3555.1326,135945.39,2.603008289842732
1980,80Q3,2006-03-01,6.4177,116.42457,324.07529,,,2.783564414281281,2976.9888,1850.4351,4827.4238,119.30255,,82.3223,202.85696,3823.9795,9937.9004,,,,3599.5295,198850.41,2.598837258411035
1980,80Q4,2006-03-01,6.56802,117.47039,324.07529,,,2.758782787730593,2844.7578,1849.2864,4694.0439,121.95773,,84.73544,206.28114,3862.1604,10028.888,,,,3646.426,194213.8,2.596704165886015
1981,81Q1,2006-03-01,6.69644,118.42653,332.983,,,2.81172639272636,1922.5325,1370.7137,3293.2461,124.20615,,87.32362,209.05159,3896.4551,10113.749,,,,3693.2834,176586.59,2.595628267344849
1981,81Q2,2006-03-01,6.79918,119.33418,332.983,,,2.790340537807357,1756.5583,1294.8639,3051.4224,125.97965,,89.2153,211.4552,3928.3428,10192.77,,,,3743.364,164176.8,2.594674273334802
1981,81Q3,2006-03-01,6.77496,120.22626,332.983,,,2.769636184307821,1397.8701,1042.9342,2440.8044,125.14114,,91.36267,213.5248,3959.1042,10266.474,,,,3763.574,131484.84,2.593130536953284
1981,81Q4,2006-03-01,6.78155,121.10265,332.983,,,2.749593010557573,1171.0389,907.48828,2078.5273,124.5827,,93.34745,214.06487,3989.2295,10336.338,,,,3771.4626,112403.77,2.591061256315286
1982,82Q1,2006-03-01,6.7377,121.95496,339.93399,,,2.787373223688483,1023.5685,985.33447,2008.9031,123.08651,,94.5863,214.12608,4019.0098,10404.078,,,,3771.1194,86360.461,2.588716753066887
1982,82Q2,2006-03-01,6.62749,122.77481,339.93399,,,2.76876005753949,1097.2175,1127.3411,2224.5586,120.38898,,95.44804,214.56483,4048.7371,10471.41,,,,3766.2537,95435.938,2.586339824336828
1982,82Q3,2006-03-01,6.52942,123.5603,339.93399,,,2.75115866504047,1212.1998,1218.8177,2431.0176,118.10835,,97.12473,215.3389,4078.6543,10539.719,,,,3763.55,104364.14,2.584116775967014
1982,82Q4,2006-03-01,6.53956,124.33537,339.93399,,,2.734008753904862,1615.0139,1376.5061,2991.52,117.99804,,97.60139,217.22993,4108.8096,10609.071,,,,3773.6104,129091.47,2.582030328200168
